Ano;Semestre;data semestre;Concelho;Pedidos de Ligação à Rede Executados (#);CodConcelho
2025;1;2025 Sem. 1;Mortágua;26.0;1808
2025;1;2025 Sem. 1;Trofa;116.0;1318
2025;1;2025 Sem. 1;Fafe;195.0;0307
2025;1;2025 Sem. 1;Alcanena;36.0;1402
2025;1;2025 Sem. 1;Arouca;80.0;0104
2025;1;2025 Sem. 1;Vouzela;54.0;1824
2025;1;2025 Sem. 1;Cabeceiras de Basto;85.0;0304
2025;1;2025 Sem. 1;Nelas;57.0;1809
2025;1;2025 Sem. 1;Valpaços;86.0;1712
2025;1;2025 Sem. 1;Sertã;70.0;0509
2025;1;2025 Sem. 1;Vila de Rei;31.0;0510
2025;1;2025 Sem. 1;Montijo;105.0;1507
2025;1;2025 Sem. 1;Portel;18.0;0709
2025;1;2025 Sem. 1;Mação;34.0;1413
2025;1;2025 Sem. 1;Vizela;56.0;0314
2025;1;2025 Sem. 1;Montalegre;49.0;1706
2025;1;2025 Sem. 1;Reguengos de Monsaraz;39.0;0711
2025;1;2025 Sem. 1;Albergaria-a-Velha;68.0;0102
2025;1;2025 Sem. 1;Ponte de Lima;225.0;1607
2025;1;2025 Sem. 1;Faro;151.0;0805
2025;1;2025 Sem. 1;Mértola;23.0;0209
2025;1;2025 Sem. 1;Pinhel;25.0;0910
2025;1;2025 Sem. 1;Oliveira de Azeméis;148.0;0113
2025;1;2025 Sem. 1;Miranda do douro;51.0;0406
2025;1;2025 Sem. 1;Tondela;118.0;1821
2025;1;2025 Sem. 1;Estarreja;96.0;0108
2025;1;2025 Sem. 1;Almada;253.0;1503
2025;1;2025 Sem. 1;Vila do Bispo;26.0;0815
2025;1;2025 Sem. 1;Figueiró dos Vinhos;27.0;1008
2025;1;2025 Sem. 1;Vila Nova de Cerveira;41.0;1610
2025;1;2025 Sem. 1;Alcochete;38.0;1502
2025;1;2025 Sem. 1;Aguiar da Beira;34.0;0901
2025;1;2025 Sem. 1;Penafiel;254.0;1311
2025;1;2025 Sem. 1;Santa Maria da Feira;310.0;0109
2025;1;2025 Sem. 1;Abrantes;136.0;1401
2025;1;2025 Sem. 1;Carrazeda de Ansiães;24.0;0403
2025;1;2025 Sem. 1;Santiago do Cacém;81.0;1509
2025;1;2025 Sem. 1;Moita;113.0;1506
2025;1;2025 Sem. 1;Peniche;92.0;1014
2025;1;2025 Sem. 1;Bombarral;40.0;1005
2025;1;2025 Sem. 1;Vila Real de Santo António;42.0;0816
2025;1;2025 Sem. 1;Aljezur;31.0;0803
2025;1;2025 Sem. 1;Ílhavo;133.0;0110
2025;1;2025 Sem. 1;Terras de Bouro;47.0;0310
2025;1;2025 Sem. 1;Vila Real;169.0;1714
2025;1;2025 Sem. 1;Alcobaça;217.0;1001
2025;1;2025 Sem. 1;Vila Nova de Foz Côa;39.0;0914
2025;1;2025 Sem. 1;Castanheira de Pêra;15.0;1007
2025;1;2025 Sem. 1;Borba;12.0;0703
2025;1;2025 Sem. 1;Alter do Chão;10.0;1201
2025;1;2025 Sem. 1;Fronteira;10.0;1208
2025;1;2025 Sem. 1;Freixo de Espada À Cinta;7.0;0404
2022;2;2022 Sem. 2;Felgueiras;545.0;1303
2022;2;2022 Sem. 2;Manteigas;28.0;0908
2022;2;2022 Sem. 2;Esposende;487.0;0306
2022;2;2022 Sem. 2;Santarém;372.0;1416
2022;2;2022 Sem. 2;Coruche;171.0;1409
2022;2;2022 Sem. 2;Lousada;642.0;1305
2022;2;2022 Sem. 2;Mértola;79.0;0209
2022;2;2022 Sem. 2;Mora;32.0;0707
2022;2;2022 Sem. 2;Albergaria-a-Velha;229.0;0102
2022;2;2022 Sem. 2;Entroncamento;92.0;1410
2022;2;2022 Sem. 2;Penalva do Castelo;91.0;1811
2022;2;2022 Sem. 2;Vila Flor;42.0;0410
2022;2;2022 Sem. 2;Santa Comba Dão;81.0;1814
2022;2;2022 Sem. 2;Grândola;192.0;1505
2022;2;2022 Sem. 2;Amarante;494.0;1301
2022;2;2022 Sem. 2;Vila Velha de Ródão;74.0;0511
2022;2;2022 Sem. 2;Vila do Conde;631.0;1316
2022;2;2022 Sem. 2;Paços de Ferreira;593.0;1309
2022;2;2022 Sem. 2;Lourinhã;263.0;1108
2022;2;2022 Sem. 2;Sines;128.0;1513
2022;2;2022 Sem. 2;Baião;195.0;1302
2022;2;2022 Sem. 2;Sever do Vouga;117.0;0117
2022;2;2022 Sem. 2;Oeiras;475.0;1110
2022;2;2022 Sem. 2;Valença;218.0;1608
2022;2;2022 Sem. 2;Pombal;529.0;1015
2022;2;2022 Sem. 2;Figueira da Foz;442.0;0605
2022;2;2022 Sem. 2;Amares;249.0;0301
2022;2;2022 Sem. 2;Póvoa de Varzim;487.0;1313
2022;2;2022 Sem. 2;Alenquer;254.0;1101
2022;2;2022 Sem. 2;Tabuaço;66.0;1819
2022;2;2022 Sem. 2;Condeixa-a-Nova;128.0;0604
2022;2;2022 Sem. 2;Peso da Régua;136.0;1708
2022;2;2022 Sem. 2;Crato;26.0;1206
2023;1;2023 Sem. 1;Penedono;49.0;1812
2023;1;2023 Sem. 1;Redondo;27.0;0710
2023;1;2023 Sem. 1;Valpaços;214.0;1712
2023;1;2023 Sem. 1;Salvaterra de Magos;326.0;1415
2023;1;2023 Sem. 1;Torres Vedras;761.0;1113
2023;1;2023 Sem. 1;Gondomar;700.0;1304
2023;1;2023 Sem. 1;Terras de Bouro;93.0;0310
2023;1;2023 Sem. 1;Murtosa;91.0;0112
2023;1;2023 Sem. 1;Marvão;35.0;1210
2023;1;2023 Sem. 1;Alvaiázere;54.0;1002
2023;1;2023 Sem. 1;Tavira;246.0;0814
2023;1;2023 Sem. 1;Penacova;154.0;0613
2023;1;2023 Sem. 1;Amarante;511.0;1301
2023;1;2023 Sem. 1;Águeda;385.0;0101
2023;1;2023 Sem. 1;Santa Marta de Penaguião;60.0;1711
2023;1;2023 Sem. 1;Loulé;804.0;0808
2023;1;2023 Sem. 1;Beja;240.0;0205
2023;1;2023 Sem. 1;Coimbra;850.0;0603
2023;1;2023 Sem. 1;Oliveira do Bairro;198.0;0114
2023;1;2023 Sem. 1;Sernancelhe;67.0;1818
2023;1;2023 Sem. 1;Alandroal;78.0;0701
2023;1;2023 Sem. 1;Vila Real;493.0;1714
2023;1;2023 Sem. 1;Coruche;179.0;1409
2023;1;2023 Sem. 1;Elvas;115.0;1207
2023;1;2023 Sem. 1;Vila Pouca de Aguiar;149.0;1713
2023;1;2023 Sem. 1;Sintra;1293.0;1111
2023;1;2023 Sem. 1;Vagos;243.0;0118
2023;1;2023 Sem. 1;Borba;34.0;0703
2023;1;2023 Sem. 1;Arronches;38.0;1202
2023;1;2023 Sem. 1;Penalva do Castelo;102.0;1811
2023;1;2023 Sem. 1;Alijó;131.0;1701
2023;1;2023 Sem. 1;Amares;264.0;0301
2023;1;2023 Sem. 1;Campo Maior;41.0;1204
2023;1;2023 Sem. 1;Pampilhosa da Serra;44.0;0612
2023;1;2023 Sem. 1;Vila Verde;724.0;0313
2023;1;2023 Sem. 1;Aguiar da Beira;76.0;0901
