Ano;Semestre;Concelho;Potência de Ligação (kW);Processos Concluídos (#);CodConcelho
2023;2;Alpiarça;191.61999999999998;16.0;1404
2023;2;Fornos de Algodres;11.69;7.0;0905
2023;2;Oeiras;469.28000000000003;89.0;1110
2023;2;Castelo Branco;391.56;105.0;0502
2023;2;Albufeira;396.14;86.0;0801
2023;2;Vila Nova de Gaia;1111.02;258.0;1317
2023;2;Castro Verde;27.64;19.0;0206
2023;2;Carrazeda de Ansiães;36.31999999999999;8.0;0403
2023;2;Reguengos de Monsaraz;116.14;17.0;0711
2023;2;Miranda do douro;56.150000000000006;12.0;0406
2023;2;Ponte da Barca;63.62;25.0;1606
2023;2;Aljustrel;43.36;11.0;0201
2023;2;Murça;40.019999999999996;17.0;1707
2023;2;Belmonte;12.739999999999998;8.0;0501
2023;2;Almodôvar;146.2;6.0;0202
2023;2;Mourão;3.5;2.0;0708
2024;1;Santiago do Cacém;431.15000000000003;85.0;1509
2024;1;Armamar;191.49;41.0;1801
2024;1;Miranda do Corvo;169.2;44.0;0609
2024;1;Cartaxo;391.31;86.0;1406
2024;1;Cascais;1929.75;436.0;1105
2024;1;Vila Nova de Famalicão;3231.85;348.0;0312
2024;1;Nazaré;411.0799999999999;35.0;1011
2024;1;Batalha;1230.01;75.0;1004
2024;1;Ansião;395.1700000000001;36.0;1003
2024;1;Crato;93.03;14.0;1206
2024;1;Vimioso;117.17;15.0;0411
2024;1;Penedono;60.849999999999994;19.0;1812
2024;1;Elvas;1191.8;42.0;1207
2024;1;Fronteira;101.76;15.0;1208
2024;1;Vila Nova de Poiares;205.77999999999997;46.0;0617
2024;1;Ovar;1756.2800000000002;143.0;0115
2024;1;Castro Marim;117.71000000000001;30.0;0804
2024;1;Guimarães;5187.1;484.0;0308
2024;1;Arronches;36.76;7.0;1202
2024;1;Maia;1342.83;234.0;1306
2024;1;Tábua;749.18;51.0;0616
2024;1;Avis;272.9;31.0;1203
2024;1;Vila Real;1336.77;205.0;1714
2024;1;Alcochete;371.28000000000003;37.0;1502
2024;1;Figueira de Castelo Rodrigo;78.28999999999999;15.0;0904
2024;1;Cadaval;713.94;54.0;1104
2024;1;Marvão;13.040000000000001;4.0;1210
2024;1;Portel;157.81;18.0;0709
2024;1;Salvaterra de Magos;547.99;134.0;1415
2024;1;Miranda do douro;89.99;23.0;0406
2024;1;Vagos;1093.3000000000002;94.0;0118
2024;1;Braga;2512.54;401.0;0303
2024;1;Tondela;834.5500000000001;125.0;1821
2024;1;Almeida;62.06;20.0;0902
2024;1;Sernancelhe;439.27000000000004;33.0;1818
2024;1;Coruche;962.3999999999999;100.0;1409
2024;1;Moura;533.33;48.0;0210
2024;1;Belmonte;122.64000000000001;28.0;0501
2024;1;Rio Maior;1114.94;104.0;1414
2024;1;Terras de Bouro;73.83;26.0;0310
2024;1;São Brás de Alportel;295.52;57.0;0812
2024;1;Moita;333.84;88.0;1506
2024;1;Mação;360.1;38.0;1413
2024;1;Gavião;34.72;15.0;1209
2024;1;Loulé;1505.9900000000002;237.0;0808
2024;1;Estarreja;869.5999999999999;85.0;0108
2024;1;Pinhel;193.68;15.0;0910
2024;1;Amarante;1057.99;266.0;1301
2024;1;Constância;67.58;9.0;1408
2024;1;Sardoal;55.96;14.0;1417
2024;1;Lousada;796.4899999999999;120.0;1305
2024;1;Sines;414.15;32.0;1513
2024;1;Valença;291.65999999999997;47.0;1608
2024;1;Torres Novas;828.8599999999999;168.0;1419
2024;1;Vila Verde;625.03;178.0;0313
2024;1;Óbidos;304.3;108.0;1012
2024;1;Macedo de Cavaleiros;220.27999999999997;48.0;0405
2024;1;Odivelas;648.94;104.0;1116
2024;1;Santarém;2521.5;221.0;1416
2024;2;Portimão;1640.75;75.0;0811
2024;2;Santarém;1616.9;199.0;1416
2024;2;Viana do Castelo;1020.21;155.0;1609
2024;2;Valença;50.89;22.0;1608
2024;2;Penafiel;519.42;183.0;1311
2024;2;Terras de Bouro;95.87;26.0;0310
